Hours,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0.104975295,1,0.999560617,1,1,1,1,1,1,1,0.999137159,0.996990387,0.998466989,0.999038933,0.996973994,0.998093299,0.999157824,1,1,1,0.999664666,0.997886928,0.997330681,0.998195261,0.998769737,0.999895784,0.997954754,0.99945049,0.99967235,1,1,1,1,0.999087125,0.999115025,0.998475009,0.999320807,0.999734401,1,1,0.999569491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997984536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.528710084,0.998984557,1,0.997805106,0.999149765,0.999451677,0.998717315,0.998937725,0.999850843,0.999974075,1,1,1,1,1,1,1,0.999593438,0.99856713,0.997766921,1,1,1,1,1,1,1,1,1,0.997977104,0.996747301,0.995535314,0.996631611,1,1,1,1,1,0.998552436,0.999948927,1,0.99874714,0.997852614,0.997855193,0.997126445,0.997892367,0.998906693,0.998655754,0.997185127,0.999025672,0.99679957,0.996454055,0.99829166,0.99471034,0.995147676,0.996816042,0.996438951,0.996318138,0.998098223,0.998951312,0.998136057,0.999064103,1,0.99815698,0.998084889,0.996662298,0.994800983,0.995978505,0.996237866,0.999410235,0.997767394,0.998812291,0.99602701,0.996309483,0.99620036,0.996380287,0.998897955,0.994605157,0.996163473,0.994764366,0.996867748,0.994643902,0.99658715,0.996030173,0.994817593,0.996176109,0.996596372,0.997079109,0.99568197,0.995936378,0.995082233,0.993933549,0.993218277,0.995158353,0.995696606,0.996291908,0.994953521
1.108726962,0.995244144,0.995769311,0.994499098,0.993041018,0.995390398,0.994654138,0.994416915,0.995107077,0.995288753,0.996785365,0.995892147,0.994370473,0.999066826,0.996498504,0.995767786,0.996568411,0.9967751,0.996478574,0.993829945,0.997664077,0.999186965,0.997911348,0.997126291,0.997655982,0.998079703,0.995365108,0.996002738,0.998860952,0.997933192,0.994234591,0.995601226,0.995409902,0.99992427,0.997928387,0.997224508,0.997460579,0.997345122,0.996094535,0.997937003,0.996170481,0.998516844,0.994580499,0.994187452,0.993200432,0.993836723,0.995273324,0.994532336,0.992183951,0.991019075,0.988649054,0.988640775,0.991392236,0.985288293,0.988498438,0.990148967,0.987812673,0.987316756,0.989792766,0.990813462,0.989874614,0.992632157,0.995093145,0.992422841,0.989233922,0.988012656,0.986021863,0.988131182,0.988269739,0.99455901,0.989293013,0.991778949,0.987112691,0.989088891,0.987750629,0.987504492,0.992963349,0.988062444,0.988506292,0.987948917,0.988857082,0.98694465,0.988534236,0.987582369,0.986994381,0.988157837,0.988593389,0.98922407,0.988812831,0.989107573,0.987521059,0.986170296,0.983516783,0.988353206,0.991179719,0.986049593,0.988004355
1.609416973,0.986451442,0.98480494,0.987279479,0.982807057,0.986898611,0.986982477,0.987463033,0.984034555,0.988685684,0.987508644,0.987858035,0.985844097,0.994104345,0.989781079,0.987610851,0.986740681,0.989004006,0.989762121,0.985613226,0.988725068,0.991469337,0.989601368,0.987688343,0.994683445,0.990318042,0.987008408,0.988348372,0.993305537,0.989646046,0.986425136,0.990299426,0.988029496,0.993090183,0.990883575,0.989551752,0.989714589,0.989892264,0.988068796,0.990601177,0.988132698,0.992490991,0.986064665,0.986745226,0.985208729,0.986775221,0.986484223,0.985713843,0.983374789,0.986483385,0.981965247,0.98012435,0.984530118,0.977942758,0.98260479,0.982682447,0.980389713,0.979994948,0.982882707,0.986294493,0.983701378,0.98684097,0.99299979,0.987406169,0.983551841,0.980633989,0.980857315,0.982864757,0.982013934,0.991882151,0.98184036,0.98880416,0.979581948,0.984373885,0.981222406,0.979715601,0.987526461,0.982386267,0.981850727,0.981933694,0.983033033,0.980655132,0.979433059,0.982047492,0.981332299,0.981222093,0.982483379,0.98262697,0.981804949,0.983100689,0.982199255,0.978958965,0.975401596,0.983609695,0.986276395,0.980744506,0.983646771
2.110225689,0.980311912,0.978545573,0.98158917,0.973684145,0.980205793,0.980052085,0.981778995,0.97719451,0.982545658,0.980494845,0.982523925,0.980016801,0.991913061,0.984396219,0.9815389,0.979864037,0.984256079,0.984841859,0.979287603,0.983144241,0.988599835,0.983277919,0.981585948,0.990946272,0.985081198,0.983499437,0.980185589,0.986438274,0.982788379,0.980424986,0.984313921,0.983272726,0.987294909,0.986090321,0.983471872,0.981112362,0.984442157,0.980253233,0.984403332,0.981540206,0.98793965,0.979508038,0.979180564,0.978249134,0.979508085,0.981209375,0.977140569,0.974483275,0.983165321,0.975892597,0.97384483,0.977962207,0.970245164,0.977987724,0.976622327,0.974680833,0.972550585,0.975478502,0.979965139,0.979905834,0.981442337,0.993327243,0.981693347,0.977516915,0.976077364,0.974984741,0.977096007,0.974584807,0.988777117,0.975791796,0.98445398,0.972380076,0.979856434,0.973258414,0.973961633,0.982600883,0.977145799,0.974972557,0.97638957,0.976354716,0.97232591,0.971595696,0.976114873,0.977418306,0.975342667,0.975930902,0.978569972,0.975577484,0.976559565,0.976447129,0.97336606,0.968618783,0.976778938,0.981403844,0.974471773,0.979281972
2.610610328,0.974034897,0.973092042,0.975738015,0.966108367,0.973294938,0.972951589,0.97536463,0.968922066,0.975418532,0.97468105,0.976011434,0.974241029,0.991054352,0.975023064,0.974938739,0.973317935,0.977041543,0.979491096,0.971713585,0.975155583,0.985355871,0.974914007,0.97402309,0.990575556,0.981612525,0.978633191,0.973789751,0.98217943,0.976382738,0.974166478,0.976585599,0.976468715,0.980922588,0.980725291,0.97902018,0.975204346,0.978424977,0.971601565,0.978678113,0.975176531,0.981851668,0.972834384,0.973912052,0.970824476,0.97277391,0.974263284,0.969234807,0.96966959,0.97279319,0.965359969,0.963676235,0.968605894,0.959977524,0.969953974,0.968772806,0.966312891,0.96275864,0.965357596,0.969007984,0.968013822,0.973242829,0.988235811,0.975050785,0.968937282,0.965121333,0.966484933,0.969075343,0.963704821,0.982436479,0.966540175,0.978511919,0.961468652,0.971318164,0.963273105,0.964115526,0.974074698,0.96803866,0.964485437,0.967799625,0.96773397,0.964346402,0.962350714,0.967344528,0.96691205,0.966579408,0.966467751,0.969799289,0.96626584,0.96778353,0.966375321,0.963775008,0.957799653,0.969184703,0.972990593,0.966929425,0.972260492
3.111121759,0.964891424,0.965136453,0.965387051,0.954847713,0.963752145,0.964316391,0.966086692,0.958688354,0.967850666,0.965297076,0.96667581,0.965739972,0.985661799,0.967788914,0.966843209,0.964652663,0.968427625,0.970880496,0.962847571,0.966869072,0.979331421,0.966164252,0.963228151,0.986800326,0.973396463,0.970625834,0.964524959,0.975407447,0.966624997,0.965616119,0.968928452,0.96819284,0.973409207,0.973281916,0.971671838,0.966364573,0.971105008,0.963733436,0.970025546,0.966741906,0.974450744,0.962084149,0.967161728,0.962441425,0.964470635,0.96428575,0.960226363,0.960055705,0.967311136,0.958945675,0.956688622,0.960689435,0.954773039,0.965463565,0.961962553,0.960448852,0.956414458,0.958614296,0.96318002,0.961020583,0.964889554,0.98696287,0.969006442,0.962675593,0.958744361,0.96057309,0.961242923,0.958358363,0.980255135,0.959481193,0.972726608,0.953361689,0.96376904,0.957139764,0.960160198,0.966851894,0.961715176,0.958557741,0.961182135,0.963435447,0.956081837,0.954637816,0.962170086,0.960265765,0.959026249,0.961565765,0.964363195,0.960212458,0.961125201,0.96096456,0.958616384,0.949251045,0.964245111,0.969272567,0.960972511,0.964888751
3.611333436,0.959046193,0.959869144,0.959239642,0.946700682,0.954785636,0.958396628,0.960018571,0.950874749,0.961477975,0.959310524,0.959739464,0.959426237,0.985099842,0.961103114,0.962734035,0.958155489,0.961457525,0.963884914,0.956122228,0.962038759,0.975925821,0.95845968,0.956634677,0.985605199,0.96782772,0.964066214,0.956852312,0.969446862,0.958074165,0.958445304,0.958969312,0.962741594,0.968274419,0.967227309,0.964757797,0.960371914,0.965565802,0.956178355,0.964045996,0.960069288,0.967767832,0.955996551,0.960265304,0.956435843,0.9579152,0.957217995,0.951771828,0.95137144,0.962812303,0.953332978,0.948932797,0.954697895,0.9475292,0.959383043,0.957116413,0.955404389,0.9487736,0.951043437,0.957801282,0.956130391,0.959443483,0.986330202,0.964993863,0.958203212,0.95161318,0.954259068,0.956560737,0.9521768,0.978017005,0.952361153,0.97026651,0.947153086,0.957614145,0.950434377,0.954313313,0.962814414,0.954808473,0.952346121,0.956707387,0.957988466,0.949358353,0.946500225,0.953936521,0.95517968,0.953443343,0.954735761,0.956730116,0.955684887,0.956543812,0.953652441,0.951169378,0.940984888,0.958824944,0.96469862,0.955248886,0.960752261
4.111807902,0.953834722,0.954115583,0.951992177,0.937998144,0.947161852,0.9504928,0.952484657,0.940644512,0.955328832,0.953172579,0.954303172,0.95364709,0.982673102,0.954529931,0.958123805,0.952863933,0.955557211,0.957210732,0.949708062,0.952789772,0.972344693,0.9522512,0.948642203,0.983816064,0.962345425,0.958174931,0.947856711,0.964180001,0.949248113,0.951802171,0.952400357,0.956864697,0.962981023,0.960393226,0.95931528,0.955170221,0.958764438,0.950683373,0.958247536,0.952638028,0.963365272,0.949490045,0.954971416,0.950311464,0.951193912,0.951545115,0.944830367,0.945373171,0.95699856,0.947527414,0.943281236,0.9486906,0.939216611,0.954432975,0.949127293,0.949620483,0.94313961,0.944548194,0.952738224,0.94953379,0.9539036,0.986192632,0.959564144,0.952834491,0.943229462,0.9479111,0.950077324,0.943945267,0.975622659,0.942591772,0.966132808,0.938891905,0.951571785,0.944150755,0.947651571,0.957517133,0.949855197,0.945051471,0.950687224,0.950718142,0.942642791,0.93914092,0.947794652,0.950522004,0.946736383,0.948052815,0.950685637,0.948720773,0.951084648,0.947652268,0.944832851,0.932302226,0.953149573,0.96039149,0.948440065,0.955640532
4.612006601,0.946429984,0.948165755,0.943394322,0.928429645,0.940682968,0.944276568,0.945172453,0.931834977,0.948617497,0.94738496,0.947029246,0.946632627,0.981627683,0.948948406,0.951622241,0.944578036,0.949787601,0.950755146,0.942909809,0.946216975,0.968778839,0.94430522,0.940745543,0.983418335,0.956788154,0.952760954,0.940333725,0.959355264,0.94196203,0.944459549,0.944694199,0.948908395,0.956038529,0.953932823,0.953951937,0.949343622,0.952371017,0.941456505,0.950120429,0.946578226,0.9572356,0.941309974,0.947780729,0.941670332,0.945651453,0.944548411,0.936425462,0.937053432,0.952779766,0.941344494,0.936024971,0.942460101,0.931074093,0.949972485,0.943423826,0.944023989,0.936881553,0.93731973,0.947495254,0.944360403,0.948476875,0.984594831,0.955251803,0.946798479,0.93714473,0.943739701,0.944949459,0.938642689,0.974830924,0.937203636,0.961952442,0.934118703,0.947470566,0.938126679,0.943581658,0.950659872,0.942854731,0.939370121,0.945391177,0.944508977,0.936405514,0.932773338,0.942724911,0.946458032,0.940451707,0.942393108,0.945257016,0.943351628,0.945618148,0.940935937,0.938733846,0.924600481,0.947990864,0.954810555,0.942364956,0.951180124
5.112568637,0.94069493,0.942759372,0.936847448,0.920192626,0.933730592,0.936288231,0.937137507,0.924775403,0.941519546,0.939498711,0.942089205,0.938456977,0.980535588,0.940972443,0.947553486,0.937634362,0.945291362,0.944236333,0.936604912,0.940629295,0.966307641,0.934787223,0.934326736,0.983564555,0.952686404,0.947706741,0.933769085,0.952514869,0.934538657,0.93836139,0.938217927,0.941957161,0.949653596,0.949118745,0.948034889,0.943840032,0.947380363,0.934713019,0.943748653,0.940333646,0.951517235,0.934552062,0.940481269,0.937986544,0.940881425,0.938582074,0.929210785,0.932195349,0.947478906,0.935367201,0.92906526,0.93439832,0.923953226,0.94364449,0.936443512,0.938419024,0.929124417,0.929957345,0.940968077,0.937815016,0.941924064,0.984270402,0.949971256,0.940416775,0.928268884,0.936621274,0.939346894,0.931993187,0.970799559,0.929948726,0.958838281,0.924762871,0.941922765,0.931612472,0.938151434,0.945170971,0.937871064,0.930605744,0.939169809,0.939347933,0.929850103,0.926496869,0.936687796,0.938526528,0.933609961,0.93624499,0.938840298,0.936767956,0.93774266,0.93242622,0.93205849,0.915673281,0.943038861,0.949584334,0.934292692,0.945215696
5.613176686,0.936406946,0.937074612,0.928444433,0.910450984,0.924082648,0.927838127,0.930112412,0.91707284,0.934347945,0.933470402,0.934568614,0.932555123,0.980029902,0.934605203,0.944280641,0.932443527,0.941154014,0.938727841,0.929134245,0.935191863,0.962843089,0.926946505,0.926526693,0.983252306,0.94725681,0.943402552,0.925553687,0.945569317,0.925412568,0.932459844,0.932073139,0.935034461,0.94462142,0.944302489,0.943775248,0.937702457,0.94134823,0.928064098,0.938211284,0.933832041,0.945240252,0.93048967,0.935393659,0.930477508,0.934745399,0.932142305,0.920137857,0.924600389,0.941159518,0.927345427,0.921865908,0.92807577,0.915651013,0.937388436,0.92901267,0.931795118,0.920095223,0.922475434,0.932594015,0.931323932,0.934951983,0.981966528,0.942671809,0.932858902,0.920280102,0.930119205,0.932106646,0.923666082,0.966620867,0.921287621,0.952440741,0.91655536,0.934541411,0.923724864,0.931630125,0.939043322,0.928738293,0.923483335,0.931631509,0.932646516,0.92082131,0.917921866,0.929562891,0.933097833,0.924250727,0.927246494,0.932898778,0.930187696,0.930702843,0.924176778,0.924654916,0.907611496,0.934110131,0.944546471,0.92678948,0.939524658
6.113388934,0.926529365,0.929001833,0.920629998,0.90059601,0.914714705,0.918416145,0.920561028,0.908743527,0.927145191,0.925876626,0.926450088,0.924169096,0.977582283,0.926687129,0.93333101,0.924538562,0.934789385,0.929198961,0.921203747,0.927058859,0.958847335,0.918258439,0.916069275,0.980890961,0.938012353,0.934471482,0.917353896,0.938910217,0.916186232,0.922105253,0.924148842,0.927123848,0.937456307,0.936913606,0.936706017,0.930421504,0.932045229,0.921389853,0.930427013,0.925273685,0.937716701,0.920833289,0.927947288,0.923188446,0.926607054,0.921929119,0.912266546,0.917453753,0.933694933,0.920155742,0.913449454,0.918427672,0.907973317,0.931617251,0.922144174,0.923793891,0.912437729,0.912195676,0.925916024,0.92311675,0.927757079,0.980191211,0.936082576,0.925750749,0.913215333,0.92329844,0.922610391,0.915337429,0.964443389,0.913901298,0.947770017,0.908328974,0.928843778,0.916747728,0.924276829,0.933725653,0.921311991,0.916556826,0.924932125,0.926344324,0.913165736,0.910467134,0.922124967,0.927594288,0.9158271,0.919356808,0.925991143,0.922369476,0.924894633,0.917674067,0.916155766,0.899300619,0.926600614,0.93912673,0.919446433,0.934295161
6.614422189,0.91775533,0.921889423,0.912857295,0.89060275,0.906674531,0.909965483,0.911933585,0.898926057,0.919238628,0.919203277,0.917802142,0.915961273,0.975181063,0.920670727,0.927592799,0.915935055,0.925333969,0.923447802,0.913530849,0.921333363,0.954989346,0.910280842,0.908501937,0.979722231,0.931753949,0.929209079,0.910100591,0.932874415,0.907559597,0.91556893,0.914618235,0.920656717,0.93132331,0.932616219,0.931305996,0.924146554,0.926242293,0.913458481,0.923705496,0.918690206,0.933558829,0.915310835,0.922838445,0.917092154,0.91946714,0.915015546,0.904188153,0.908872883,0.923299686,0.911851268,0.903770309,0.909150461,0.897955089,0.924369067,0.913666964,0.916274627,0.902893567,0.901344702,0.917751143,0.914104634,0.918671131,0.976209448,0.927019853,0.918859322,0.902358333,0.913178963,0.913950992,0.906486343,0.958888048,0.901764933,0.941556545,0.899013592,0.918925543,0.907351635,0.91525172,0.925812368,0.911861342,0.908522339,0.917989487,0.91770421,0.903146039,0.899033397,0.912489278,0.91785033,0.905473332,0.910563301,0.919476658,0.915328011,0.917686693,0.909040965,0.907612348,0.887903309,0.918361154,0.932204121,0.909559401,0.926329258
